source_file,freesound_id,freesound_url,freesound_name,uploader,recordist,source_licence,source_licence_url,pack,good_sounds_id,waveform_match_r,runner_up_r,checked
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_m_17.flac,360003,https://freesound.org/people/MTG/sounds/360003/,Sax Baritone - F3,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5290,0.9846,0.7633,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_m_18.flac,360004,https://freesound.org/people/MTG/sounds/360004/,Sax Baritone - F#3,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5291,0.9794,0.1306,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_m_19.flac,360005,https://freesound.org/people/MTG/sounds/360005/,Sax Baritone - G3,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5292,0.9913,0.2053,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_m_20.flac,360006,https://freesound.org/people/MTG/sounds/360006/,Sax Baritone - G#3,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5293,0.9911,0.3791,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_m_21.flac,360007,https://freesound.org/people/MTG/sounds/360007/,Sax Baritone - A3,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5294,0.9828,0.5256,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_m_22.flac,360008,https://freesound.org/people/MTG/sounds/360008/,Sax Baritone - C2,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5295,0.9921,0.5852,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_m_23.flac,360009,https://freesound.org/people/MTG/sounds/360009/,Sax Baritone - C#2,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5296,0.9975,0.8006,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_m_24.flac,360010,https://freesound.org/people/MTG/sounds/360010/,Sax Baritone - D2,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5297,1.0,0.6618,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_m_25.flac,360011,https://freesound.org/people/MTG/sounds/360011/,Sax Baritone - D#2,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5298,1.0,0.3889,2026-09-24
sfzinstruments/MTG.SoloSax/MTG Solo Saxophones/Samples/bar_m_26.flac,360012,https://freesound.org/people/MTG/sounds/360012/,Sax Baritone - E2,MTG,"Music Technology Group, Universitat Pompeu Fabra (good-sounds.org)",CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/people/MTG/packs/20253/,5299,0.9883,0.4211,2026-09-24
