freesound_id,url,name,uploader,pack,licence_url,uploaded,description,checked
358389,https://freesound.org/people/MTG/sounds/358389/,Sax Alto - C#4,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::C# octave::4 midi note::49 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4653",2026-09-24
358390,https://freesound.org/people/MTG/sounds/358390/,Sax Alto - D4,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::D octave::4 midi note::50 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4654",2026-09-24
358391,https://freesound.org/people/MTG/sounds/358391/,Sax Alto - D#4,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::D# octave::4 midi note::51 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4655",2026-09-24
358392,https://freesound.org/people/MTG/sounds/358392/,Sax Alto - E4,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::E octave::4 midi note::52 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4656",2026-09-24
358393,https://freesound.org/people/MTG/sounds/358393/,Sax Alto - F4,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::F octave::4 midi note::53 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4657",2026-09-24
358394,https://freesound.org/people/MTG/sounds/358394/,Sax Alto - F#4,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::F# octave::4 midi note::54 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4658",2026-09-24
358395,https://freesound.org/people/MTG/sounds/358395/,Sax Alto - G4,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::G octave::4 midi note::55 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4659",2026-09-24
358396,https://freesound.org/people/MTG/sounds/358396/,Sax Alto - G#4,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::G# octave::4 midi note::56 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4660",2026-09-24
358397,https://freesound.org/people/MTG/sounds/358397/,Sax Alto - A4,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::A octave::4 midi note::57 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4661",2026-09-24
358398,https://freesound.org/people/MTG/sounds/358398/,Sax Alto - A#4,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::A# octave::4 midi note::58 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4662",2026-09-24
358399,https://freesound.org/people/MTG/sounds/358399/,Sax Alto - B4,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::B octave::4 midi note::59 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4663",2026-09-24
358400,https://freesound.org/people/MTG/sounds/358400/,Sax Alto - C5,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::C octave::5 midi note::60 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4664",2026-09-24
358401,https://freesound.org/people/MTG/sounds/358401/,Sax Alto - C#5,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::C# octave::5 midi note::61 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4665",2026-09-24
358402,https://freesound.org/people/MTG/sounds/358402/,Sax Alto - D5,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::D octave::5 midi note::62 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4666",2026-09-24
358403,https://freesound.org/people/MTG/sounds/358403/,Sax Alto - D#5,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::D# octave::5 midi note::63 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4667",2026-09-24
358404,https://freesound.org/people/MTG/sounds/358404/,Sax Alto - E5,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::E octave::5 midi note::64 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4668",2026-09-24
358405,https://freesound.org/people/MTG/sounds/358405/,Sax Alto - F5,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::F octave::5 midi note::65 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4669",2026-09-24
358406,https://freesound.org/people/MTG/sounds/358406/,Sax Alto - F#5,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::F# octave::5 midi note::66 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4670",2026-09-24
358407,https://freesound.org/people/MTG/sounds/358407/,Sax Alto - G5,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::G octave::5 midi note::67 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4671",2026-09-24
358408,https://freesound.org/people/MTG/sounds/358408/,Sax Alto - G#5,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::G# octave::5 midi note::68 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4672",2026-09-24
358409,https://freesound.org/people/MTG/sounds/358409/,Sax Alto - A5,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::A octave::5 midi note::69 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4673",2026-09-24
358410,https://freesound.org/people/MTG/sounds/358410/,Sax Alto - C#3,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::C# octave::3 midi note::37 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4674",2026-09-24
358411,https://freesound.org/people/MTG/sounds/358411/,Sax Alto - D3,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::D octave::3 midi note::38 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4675",2026-09-24
358412,https://freesound.org/people/MTG/sounds/358412/,Sax Alto - D#3,MTG,20239 Sax Alto single notes,http://creativecommons.org/licenses/by/3.0/,"September 16th, 2016","Recorded in the context of the good-sounds.org project from the Music Technology Group, Universitat Pompeu Fabra, Barcelona. Part of the Good-sounds dataset of monophonic instrumental sounds. instrument::sax_alto note::D# octave::3 midi note::39 microphone::neumann U87 tuning reference::442.0 good-sounds-id::4676",2026-09-24
